to,location
sw[0],PIN_AB28
sw[1],PIN_AC28
sw[2],PIN_AC27
sw[3],PIN_AD27
sw[4],PIN_AB27
sw[5],PIN_AC26
sw[6],PIN_AD26
sw[7],PIN_AB26
sw[8],PIN_AC25
sw[9],PIN_AB25
sw[10],PIN_AC24
sw[11],PIN_AB24
sw[12],PIN_AB23
sw[13],PIN_AA24
sw[14],PIN_AA23
sw[15],PIN_AA22
sw[16],PIN_Y24
sw[17],PIN_Y23

key[0],PIN_M23
key[1],PIN_M21
key[2],PIN_N21
key[3],PIN_R24

ledr[0],PIN_G19
ledr[1],PIN_F19
ledr[2],PIN_E19
ledr[3],PIN_F21
ledr[4],PIN_F18
ledr[5],PIN_E18
ledr[6],PIN_J19
ledr[7],PIN_H19
ledr[8],PIN_J17
ledr[9],PIN_G17
ledr[10],PIN_J15
ledr[11],PIN_H16
ledr[12],PIN_J16
ledr[13],PIN_H17
ledr[14],PIN_F15
ledr[15],PIN_G15
ledr[16],PIN_G16
ledr[17],PIN_H15

ledg[0],PIN_E21
ledg[1],PIN_E22
ledg[2],PIN_E25
ledg[3],PIN_E24
ledg[4],PIN_H21
ledg[5],PIN_G20
ledg[6],PIN_G22
ledg[7],PIN_G21
ledg[8],PIN_F17

hex0[0],PIN_G18
hex0[1],PIN_F22
hex0[2],PIN_E17
hex0[3],PIN_L26
hex0[4],PIN_L25
hex0[5],PIN_J22
hex0[6],PIN_H22

hex1[0],PIN_M24
hex1[1],PIN_Y22
hex1[2],PIN_W21
hex1[3],PIN_W22
hex1[4],PIN_W25
hex1[5],PIN_U23
hex1[6],PIN_U24

hex2[0],PIN_AA25
hex2[1],PIN_AA26
hex2[2],PIN_Y25
hex2[3],PIN_W26
hex2[4],PIN_Y26
hex2[5],PIN_W27
hex2[6],PIN_W28

hex3[0],PIN_V21
hex3[1],PIN_U21
hex3[2],PIN_AB20
hex3[3],PIN_AA21
hex3[4],PIN_AD24
hex3[5],PIN_AF23
hex3[6],PIN_Y19

hex4[0],PIN_AB19
hex4[1],PIN_AA19
hex4[2],PIN_AG21
hex4[3],PIN_AH21
hex4[4],PIN_AE19
hex4[5],PIN_AF19
hex4[6],PIN_AE18

hex5[0],PIN_AD18
hex5[1],PIN_AC18
hex5[2],PIN_AB18
hex5[3],PIN_AH19
hex5[4],PIN_AG19
hex5[5],PIN_AF18
hex5[6],PIN_AH18

hex6[0],PIN_AA17
hex6[1],PIN_AB16
hex6[2],PIN_AA16
hex6[3],PIN_AB17
hex6[4],PIN_AB15
hex6[5],PIN_AA15
hex6[6],PIN_AC17

hex7[0],PIN_AD17
hex7[1],PIN_AE17
hex7[2],PIN_AG17
hex7[3],PIN_AH17
hex7[4],PIN_AF17
hex7[5],PIN_AG18
hex7[6],PIN_AA14

clk_50,PIN_Y2
clk2_50,PIN_AG14
clk3_50,PIN_AG15


